Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1828.0
FDW14,OUT017,1570.0
NCN55,OUT010,1872.0
FDQ58,OUT017,2594.0
FDY38,OUT027,5206.0
FDH56,OUT046,1916.0
FDL48,OUT018,652.0
FDC48,OUT027,2790.0
FDN33,OUT045,1496.0
FDA36,OUT017,3046.0
FDT44,OUT017,1974.0
FDQ56,OUT045,1276.0
NCC54,OUT019,1750.0
FDU11,OUT049,2004.0
DRL59,OUT013,960.0
FDM24,OUT049,2536.0
FDI57,OUT045,3072.0
DRC12,OUT018,2824.0
NCM42,OUT027,3180.0
FDA46,OUT010,1128.0
FDA31,OUT013,2848.0
NCJ31,OUT035,3814.0
FDG52,OUT046,804.0
NCL19,OUT019,286.0
FDS10,OUT035,2996.0
FDX22,OUT010,1440.0
NCF19,OUT035,846.0
NCE06,OUT046,2492.0
DRC27,OUT046,3848.0
FDE21,OUT035,1988.0
NCR42,OUT019,-1458.0
FDX51,OUT018,2912.0
NCR06,OUT018,448.0
FDU31,OUT027,4958.0
FDU59,OUT017,2682.0
FDR03,OUT027,4806.0
FDS49,OUT027,2774.0
FDD48,OUT010,-88.0
NCF18,OUT017,3052.0
NCD43,OUT027,3092.0
NCD54,OUT018,2008.0
FDY19,OUT010,-40.0
NCY54,OUT017,2748.0
NCL19,OUT018,2040.0
FDP23,OUT010,1520.0
FDC26,OUT013,1872.0
FDR14,OUT010,-1056.0
NCS41,OUT035,2974.0
FDF41,OUT035,4000.0
FDU34,OUT046,2004.0
DRH11,OUT046,920.0
FDM03,OUT013,1840.0
FDS31,OUT017,3054.0
FDJ20,OUT017,2078.0
FDV44,OUT027,4518.0
FDG02,OUT049,3064.0
FDA09,OUT013,2984.0
FDT04,OUT013,760.0
FDL58,OUT019,2226.0
FDE52,OUT045,1452.0
FDW12,OUT035,2476.0
FDL51,OUT017,3538.0
NCY42,OUT027,3676.0
FDR07,OUT017,1634.0
FDN40,OUT045,2352.0
FDB35,OUT027,2974.0
FDA22,OUT017,2718.0
NCL06,OUT046,4084.0
FDI35,OUT013,2976.0
NCW42,OUT045,3360.0
NCX06,OUT049,2878.0
FDC37,OUT027,3206.0
FDZ14,OUT018,1772.0
DRG49,OUT049,3922.0
NCG06,OUT045,3912.0
DRC36,OUT045,2724.0
FDV21,OUT019,-14.0
FDB53,OUT046,2356.0
DRP47,OUT019,1986.0
FDA14,OUT013,2416.0
DRC24,OUT035,2546.0
FDW21,OUT018,1468.0
NCH29,OUT046,1524.0
FDU58,OUT013,3144.0
FDY27,OUT017,2926.0
FDV56,OUT035,1924.0
FDT59,OUT046,3652.0
FDB23,OUT046,3636.0
FDR49,OUT045,676.0
FDB03,OUT010,1912.0
FDN39,OUT045,2612.0
FDX02,OUT027,5006.0
FDQ16,OUT027,3206.0
FDU35,OUT018,1388.0
NCT29,OUT013,1988.0
FDZ27,OUT046,828.0
FDN57,OUT017,2322.0
FDA03,OUT018,2156.0
FDZ36,OUT045,2904.0
NCU05,OUT013,1348.0
FDT39,OUT018,2224.0
FDK60,OUT017,1722.0
FDZ25,OUT017,2854.0
FDG12,OUT046,2060.0
DRB01,OUT019,1066.0
NCC43,OUT027,5372.0
FDX13,OUT019,1954.0
FDM22,OUT049,1004.0
FDJ03,OUT027,2334.0
FDU14,OUT018,3720.0
FDB33,OUT010,616.0
FDP27,OUT046,2996.0
FDO38,OUT010,-680.0
